index,Connectivity,Matrix,Adj List
381,381,0.002049,0.003224
382,382,0.001705,0.009716
383,383,0.001762,0.002811
384,384,0.001694,0.003018
385,385,0.001668,0.002901
386,386,0.001771,0.003322
387,387,0.001667,0.002855
388,388,0.001704,0.002446
389,389,0.001689,0.003060
390,390,0.001650,0.023787
391,391,0.001747,0.003833
392,392,0.001713,0.012659
393,393,0.001762,0.003112
394,394,0.001652,0.003023
395,395,0.001743,0.002691
396,396,0.001661,0.003411
397,397,0.001761,0.031385
398,398,0.003249,0.005617
399,399,0.001809,0.003158
400,400,0.001655,0.002506
401,401,0.001638,0.003001
402,402,0.001622,0.005362
403,403,0.005463,0.002905
404,404,0.001676,0.003277
405,405,0.002365,0.003068
406,406,0.001652,0.003022
407,407,0.001691,0.020770
408,408,0.001594,0.012421
409,409,0.001605,0.003173
410,410,0.001682,0.002919
411,411,0.001554,0.009588
412,412,0.001636,0.002982
413,413,0.001622,0.002883
414,414,0.001555,0.002789
415,415,0.001716,0.003283
416,416,0.001762,0.003123
417,417,0.001737,0.003351
418,418,0.001693,0.003044
419,419,0.001663,0.003196
420,420,0.001700,0.002821
421,421,0.001711,0.003678
422,422,0.001594,0.002740
423,423,0.001543,0.002855
424,424,0.001638,0.002748
425,425,0.001593,0.009100
426,426,0.001627,0.002717
427,427,0.001592,0.011640
428,428,0.001636,0.003429
429,429,0.001710,0.003722
430,430,0.001595,0.007662
431,431,0.001617,0.002761
432,432,0.001681,0.002678
433,433,0.001620,0.002617
434,434,0.001671,0.002758
435,435,0.001696,0.002996
436,436,0.001661,0.003226
437,437,0.001636,0.002904
438,438,0.001695,0.002899
439,439,0.001654,0.003123
440,440,0.001812,0.003293
441,441,0.001694,0.003284
442,442,0.001723,0.003356
443,443,0.001713,0.008148
444,444,0.004274,0.003459
445,445,0.001713,0.002834
446,446,0.001752,0.003217
447,447,0.001712,0.020876
448,448,0.011793,0.003274
449,449,0.001601,0.013638
450,450,0.017381,0.003297
451,451,0.011471,0.003315
452,452,0.002035,0.003671
453,453,0.001737,0.003225
454,454,0.003552,0.002909
455,455,0.005966,0.006630
456,456,0.008647,0.003117
457,457,0.001608,0.002944
458,458,0.001632,0.002921
459,459,0.001606,0.002923
460,460,0.001803,0.003384
461,461,0.001473,0.002966
462,462,0.001766,0.003686
463,463,0.001756,0.003217
464,464,0.001813,0.003520
465,465,0.001758,0.003734
466,466,0.002491,0.004969
467,467,0.001659,0.003584
468,468,0.001684,0.003574
469,469,0.001717,0.003634
470,470,0.001787,0.003387
471,471,0.001754,0.011201
472,472,0.001753,0.003409
473,473,0.001720,0.003379
474,474,0.001695,0.003263
475,475,0.001674,0.002903
476,476,0.001692,0.003000
477,477,0.001682,0.003219
478,478,0.001750,0.004929
479,479,0.001696,0.003303
480,480,0.001699,0.003852
481,481,0.001671,0.003259
482,482,0.006775,0.010145
483,483,0.001697,0.003158
484,484,0.010473,0.003496
485,485,0.001648,0.003195
486,486,0.001722,0.004067
487,487,0.001702,0.003358
488,488,0.001730,0.003544
489,489,0.001820,0.004336
490,490,0.001571,0.008631
491,491,0.008831,0.012335
492,492,0.001468,0.002523
493,493,0.001751,0.003861
494,494,0.001690,0.003416
495,495,0.001679,0.003960
496,496,0.001565,0.003431
497,497,0.001738,0.004467
498,498,0.001627,0.003246
499,499,0.001735,0.003592
500,500,0.001200,0.003579
501,501,0.001750,0.003389
502,502,0.001749,0.003070
503,503,0.001741,0.003306
504,504,0.001682,0.003808
505,505,0.001717,0.003174
506,506,0.001813,0.003372
507,507,0.001858,0.003291
508,508,0.001688,0.006523
509,509,0.001728,0.003079
510,510,0.001712,0.002949
511,511,0.001622,0.003473
512,512,0.001671,0.003797
513,513,0.001833,0.003789
514,514,0.001729,0.003555
515,515,0.001782,0.003446
516,516,0.001821,0.003201
517,517,0.001787,0.003176
518,518,0.002371,0.003322
519,519,0.001639,0.003325
520,520,0.001603,0.003166
521,521,0.001725,0.003340
522,522,0.001699,0.003156
523,523,0.001651,0.007627
524,524,0.001706,0.002936
525,525,0.001658,0.003122
526,526,0.001592,0.003706
527,527,0.001673,0.003688
528,528,0.001634,0.003751
529,529,0.001648,0.003647
530,530,0.001555,0.002887
531,531,0.001818,0.003816
532,532,0.001776,0.006383
533,533,0.008924,0.004426
534,534,0.001725,0.003805
535,535,0.001657,0.002994
536,536,0.001808,0.003526
537,537,0.001763,0.010432
538,538,0.001725,0.004132
539,539,0.001811,0.003500
540,540,0.001647,0.003217
541,541,0.001680,0.008684
542,542,0.002407,0.002819
543,543,0.001728,0.007149
544,544,0.001656,0.003311
545,545,0.001699,0.003120
546,546,0.001841,0.003647
547,547,0.001697,0.006150
548,548,0.001359,0.003409
549,549,0.001637,0.003744
550,550,0.001669,0.003715
551,551,0.001747,0.003688
552,552,0.001935,0.003298
553,553,0.001784,0.003803
554,554,0.001779,0.003209
555,555,0.001771,0.004189
556,556,0.001724,0.003195
557,557,0.001732,0.003243
558,558,0.001774,0.003970
559,559,0.001713,0.003702
560,560,0.001720,0.003600
561,561,0.001725,0.003457
562,562,0.001801,0.003479
563,563,0.001719,0.004101
564,564,0.001589,0.003443
565,565,0.001757,0.003824
566,566,0.001935,0.004496
567,567,0.001790,0.004242
568,568,0.001683,0.011088
569,569,0.001756,0.003342
570,570,0.016148,0.003619
571,571,0.002018,0.009104
572,572,0.001687,0.003834
573,573,0.001712,0.004557
574,574,0.001972,0.003220
575,575,0.001752,0.004097
576,576,0.001189,0.003252
577,577,0.001694,0.003759
578,578,0.001696,0.003116
579,579,0.001791,0.003761
580,580,0.001641,0.002768
581,581,0.001787,0.004655
582,582,0.001772,0.004420
583,583,0.001678,0.003423
584,584,0.001766,0.003674
585,585,0.001725,0.004052
586,586,0.001761,0.003997
587,587,0.001740,0.010515
588,588,0.008848,0.003426
589,589,0.001844,0.009069
590,590,0.008417,0.003581
591,591,0.001775,0.003528
592,592,0.001772,0.003500
593,593,0.001708,0.004486
594,594,0.004358,0.014240
595,595,0.001714,0.004455
596,596,0.001626,0.003700
597,597,0.008877,0.007506
598,598,0.001597,0.003670
599,599,0.006779,0.003204
600,600,0.001943,0.003969
601,601,0.001575,0.003524
602,602,0.001675,0.003628
603,603,0.001794,0.011923
604,604,0.001832,0.004169
605,605,0.001730,0.003524
606,606,0.001886,0.003466
607,607,0.001692,0.003485
608,608,0.001808,0.011157
609,609,0.001785,0.003805
610,610,0.001780,0.004064
611,611,0.002049,0.014563
612,612,0.001676,0.003470
613,613,0.001792,0.003589
614,614,0.001718,0.003504
615,615,0.001742,0.004475
616,616,0.001663,0.003584
617,617,0.001726,0.004368
618,618,0.001704,0.004396
619,619,0.001735,0.003919
620,620,0.009704,0.002804
621,621,0.001824,0.004369
622,622,0.008849,0.004216
623,623,0.001758,0.007781
624,624,0.001688,0.003572
625,625,0.001766,0.004234
626,626,0.001739,0.003683
627,627,0.001719,0.003848
628,628,0.001701,0.003508
629,629,0.001995,0.003831
630,630,0.001836,0.004046
631,631,0.001754,0.003923
632,632,0.001790,0.003773
633,633,0.002735,0.004112
634,634,0.001678,0.003388
635,635,0.001680,0.004260
636,636,0.001747,0.004661
637,637,0.001958,0.004260
638,638,0.001655,0.003564
639,639,0.001775,0.003576
640,640,0.001688,0.004266
641,641,0.001670,0.003663
642,642,0.001690,0.010850
643,643,0.001830,0.003950
644,644,0.002390,0.004000
645,645,0.002430,0.005515
646,646,0.001809,0.003661
647,647,0.001820,0.003774
648,648,0.001808,0.004454
649,649,0.001632,0.004633
650,650,0.001735,0.010275
651,651,0.008924,0.004969
652,652,0.001757,0.008884
653,653,0.001797,0.007676
654,654,0.001802,0.010703
655,655,0.001773,0.004554
656,656,0.001814,0.004041
657,657,0.001714,0.004694
658,658,0.001740,0.004146
659,659,0.001686,0.004491
660,660,0.001799,0.004391
661,661,0.001757,0.004282
662,662,0.001650,0.004260
663,663,0.001759,0.004263
664,664,0.001769,0.005558
665,665,0.001819,0.011333
666,666,0.004884,0.009798
667,667,0.001780,0.019966
668,668,0.001695,0.004233
669,669,0.001838,0.004675
670,670,0.001783,0.005003
671,671,0.001738,0.011725
672,672,0.001614,0.011665
673,673,0.001741,0.011390
674,674,0.001570,0.004960
675,675,0.001793,0.004621
676,676,0.001708,0.004115
677,677,0.001701,0.004706
678,678,0.001765,0.004948
679,679,0.001646,0.004779
680,680,0.001713,0.004640
681,681,0.001678,0.004053
682,682,0.001553,0.003774
683,683,0.001741,0.004762
684,684,0.001694,0.004882
685,685,0.001765,0.004592
686,686,0.001699,0.004125
687,687,0.001777,0.005011
688,688,0.001678,0.007967
689,689,0.001665,0.004139
690,690,0.001583,0.004286
691,691,0.001987,0.004736
692,692,0.001834,0.005198
693,693,0.001807,0.004952
694,694,0.001676,0.005296
695,695,0.002095,0.004661
696,696,0.001606,0.004098
697,697,0.001608,0.004512
698,698,0.001818,0.004602
699,699,0.001742,0.004551
700,700,0.001741,0.005233
701,701,0.007717,0.006598
702,702,0.001706,0.004449
703,703,0.001721,0.004543
704,704,0.001806,0.005652
705,705,0.001759,0.004982
706,706,0.001709,0.004459
707,707,0.001755,0.004016
708,708,0.001715,0.008245
709,709,0.001819,0.012119
710,710,0.008880,0.003801
711,711,0.001815,0.004449
712,712,0.001699,0.005010
713,713,0.001940,0.005209
714,714,0.001800,0.011780
715,715,0.001698,0.007384
716,716,0.001728,0.005607
717,717,0.001970,0.004325
718,718,0.001309,0.004610
719,719,0.001815,0.004887
720,720,0.001806,0.004536
721,721,0.001818,0.004971
722,722,0.001770,0.012061
723,723,0.001782,0.011573
724,724,0.001807,0.011330
725,725,0.002987,0.005399
726,726,0.001633,0.004437
727,727,0.001817,0.004276
728,728,0.001840,0.004845
729,729,0.001747,0.004581
730,730,0.001768,0.004768
731,731,0.001848,0.005548
732,732,0.001636,0.005206
733,733,0.001728,0.012371
734,734,0.001803,0.005391
735,735,0.001722,0.004658
736,736,0.005558,0.004223
