index,Size,Time taken
631,633,0.178840
632,634,0.180311
633,635,0.172239
634,636,0.180003
635,637,0.180593
636,638,0.171357
637,639,0.179301
638,640,0.199873
639,641,0.177671
640,642,0.180407
641,643,0.192272
642,644,0.189273
643,645,0.176063
644,646,0.182194
645,647,0.179498
646,648,0.199156
647,649,0.189123
648,650,0.181650
649,651,0.187528
650,652,0.195776
651,653,0.188811
652,654,0.184847
653,655,0.193730
654,656,0.196538
655,657,0.198548
656,658,0.192074
657,659,0.190216
658,660,0.187222
659,661,0.212977
660,662,0.192299
661,663,0.190626
662,664,0.196204
663,665,0.189285
664,666,0.212870
665,667,0.199627
666,668,0.201984
667,669,0.195165
668,670,0.194364
669,671,0.203706
670,672,0.196841
671,673,0.206706
672,674,0.204884
673,675,0.200855
674,676,0.196402
675,677,0.208797
676,678,0.202781
677,679,0.207274
678,680,0.204958
679,681,0.208177
680,682,0.202664
681,683,0.216186
682,684,0.200241
683,685,0.219100
684,686,0.206633
685,687,0.206391
686,688,0.206733
687,689,0.209244
688,690,0.211823
689,691,0.210589
690,692,0.209935
691,693,0.223801
692,694,0.211243
693,695,0.207103
694,696,0.213759
695,697,0.228125
696,698,0.215709
697,699,0.210741
698,700,0.211737
699,701,0.209145
700,702,0.220551
701,703,0.226521
702,704,0.224946
703,705,0.215699
704,706,0.222755
705,707,0.225147
706,708,0.217587
707,709,0.220668
708,710,0.288338
709,711,0.222330
710,712,0.216195
711,713,0.218005
712,714,0.219184
713,715,0.222144
714,716,0.230020
715,717,0.240886
716,718,0.238716
717,719,0.245871
718,720,0.234269
719,721,0.224573
720,722,0.227644
721,723,0.220867
722,724,0.238838
723,725,0.234737
724,726,0.243327
725,727,0.229716
726,728,0.241688
727,729,0.238364
728,730,0.235954
729,731,0.232865
730,732,0.236253
731,733,0.235109
732,734,0.238033
733,735,0.238037
734,736,0.228221
735,737,0.237563
736,738,0.243048
737,739,0.261856
738,740,0.244018
739,741,0.252406
740,742,0.247851
741,743,0.252551
742,744,0.253205
743,745,0.262639
744,746,0.273276
745,747,0.247685
746,748,0.260272
747,749,0.251589
748,750,0.261854
749,751,0.264301
750,752,0.250146
751,753,0.246264
752,754,0.255366
753,755,0.253201
754,756,0.251430
755,757,0.252775
756,758,0.258303
757,759,0.251871
758,760,0.253973
759,761,0.249869
760,762,0.258780
761,763,0.256695
762,764,0.252817
763,765,0.249032
764,766,0.255117
765,767,0.258089
766,768,0.267057
767,769,0.262310
768,770,0.260797
769,771,0.272619
770,772,0.268728
771,773,0.266774
772,774,0.251291
773,775,0.257717
774,776,0.262172
775,777,0.261491
776,778,0.273896
777,779,0.270116
778,780,0.273448
779,781,0.268506
780,782,0.274865
781,783,0.277254
782,784,0.271909
783,785,0.268020
784,786,0.278675
785,787,0.274339
786,788,0.264847
787,789,0.272233
788,790,0.273904
789,791,0.277461
790,792,0.292985
791,793,0.278936
792,794,0.276476
793,795,0.276953
794,796,0.277178
795,797,0.279958
796,798,0.290897
797,799,0.293968
